sample_id,mass_avg,mass_min,mass_max,mass_var,atomic_number_mean,atomic_number_min,atomic_number_max,atomic_number_var,light_element_fraction,heavy_element_fraction,en_atom_mean,en_atom_std,en_diff_mean,en_diff_max,en_diff_var,is_ionic_like,group_mean,group_std,valence_proxy_mean,valence_proxy_max,valence_proxy_var,gap_pbe,alphax_el,alphay_el,alphaz_el,alpha_el_mean_diag,layergroup,pointgroup,has_inversion_symmetry,is_janus_like,has_out_of_plane_dipole
1CrMo3Se8-1,80.96783333333333,51.996,95.95,128.7218189722222,35.166666666666664,24,42,22.972222222222214,0,0.25,2.3783333333333334,0.2730638915874613,0.5933333333333333,0.8899999999999999,0.046022222222222235,0,12.666666666666666,4.714045207910316,6,6,0,0.9514912305870031,8.044803319367618,8.088406472918349,0.5236302256449649,5.552280005976978,pm2m,mm2,0,0,1
1CrMo3Te8-1,113.38716666666664,51.996,127.6,524.7563949722222,47.166666666666664,24,52,66.97222222222221,0,0.9166666666666666,2.0783333333333336,0.1287007726817866,0.3333333333333335,0.5000000000000002,0.03795555555555558,0,12.666666666666666,4.714045207910316,6,6,0,0.6445550150371089,10.549093381735817,10.60146672862916,0.5646131989735211,7.238391103112833,pm2m,mm2,0,0,1
1CrW3S8-1,71.66633333333333,32.06,183.84,4223.7508012222215,31.166666666666668,16,74,616.3055555555553,0.6666666666666666,0.25,2.448333333333333,0.255533211583587,0.6133333333333334,0.9200000000000002,0.08542222222222219,0,12.666666666666666,4.714045207910316,6,6,0,1.1257787588586674,6.397588906615143,6.3683354232371725,0.49652009924603124,4.420814809699448,pm2m,mm2,0,0,1
1CrW3Se8-1,102.94033333333334,51.996,183.84,2235.485401888889,43.166666666666664,24,74,324.3055555555556,0,0.25,2.4283333333333332,0.24541914260211145,0.5933333333333333,0.8899999999999999,0.08735555555555553,0,12.666666666666666,4.714045207910316,6,6,0,0.8822161838626622,7.54564976267118,7.542687750675818,0.5238401866074869,5.204059233318161,pm2m,mm2,0,0,1
1CrW3Te8-1,135.35966666666664,51.996,183.84,1206.852374555556,55.166666666666664,24,74,176.30555555555554,0,0.9166666666666666,2.128333333333334,0.1795287039878458,0.4666666666666666,0.7,0.03262222222222224,0,12.666666666666666,4.714045207910316,6,6,0,0.5428116456721616,10.098014756612544,10.334619746487812,0.5646932493959449,6.9991092508321,pm2m,mm2,0,0,1
1HfTi3S8-1,48.21424999999999,32.06,178.49,1588.3175941874997,22.166666666666668,16,72,232.30555555555557,0.6666666666666666,0.08333333333333333,2.213333333333333,0.5220046828227586,0.8533333333333335,1.28,0.19768888888888891,0,12,5.656854249492381,5.333333333333333,6,0.8888888888888888,0.8581132420801696,4.858502999807051,4.734147273835138,0.36424178218972475,3.3189640186106377,p1,1,0,0,1
1HfTi3Te8-1,111.90758333333332,47.867,178.49,1558.901889743055,46.166666666666664,22,72,224.30555555555557,0,0.75,1.8933333333333338,0.2983659200080033,0.5333333333333333,0.8,0.05262222222222224,0,12,5.656854249492381,5.333333333333333,6,0.8888888888888888,0.05184850637000438,13.198363459896163,13.510991653654846,0.4605779127627882,9.0566443421046,pm2m,mm2,0,0,1
1HfZr3S8-1,59.053499999999985,32.06,178.49,1933.2577567500002,26.666666666666668,16,72,291.5555555555556,0.6666666666666666,0.3333333333333333,2.1608333333333327,0.5928386280337077,0.8533333333333335,1.28,0.33908888888888883,0,12,5.656854249492381,5.333333333333333,6,0.8888888888888888,1.1535503527525826,3.744813034170205,3.6439873635157025,0.3671951948457539,2.5853318641772205,p1,1,0,0,1
1HfZr3Te8-1,122.74683333333331,91.224,178.49,523.0661256388889,50.666666666666664,40,72,67.55555555555556,0,1,1.8408333333333335,0.36659374274832107,0.5333333333333333,0.8,0.12682222222222223,0,12,5.656854249492381,5.333333333333333,6,0.8888888888888888,0.21331606820627202,9.6690754059072,9.769069201474094,0.4646908377792057,6.634278481720167,pm2m,mm2,0,0,1
1MoCr3S8-1,42.36816666666667,32.06,95.95,333.26373230555555,20.166666666666668,16,42,54.97222222222221,0.6666666666666666,0.08333333333333333,2.3149999999999995,0.39506328606946006,0.6133333333333334,0.9200000000000002,0.04808888888888891,0,12.666666666666666,4.714045207910316,6,6,0,0.8989818827637855,8.02791430413409,8.06008978392033,0.7636216980687384,5.617208595374386,pm2m,mm2,0,0,1
1MoCr3Se8-1,73.64216666666667,51.996,95.95,177.54006163888891,32.166666666666664,24,42,26.97222222222223,0,0.08333333333333333,2.2950000000000004,0.3816739446176539,0.5933333333333333,0.8899999999999999,0.046022222222222235,0,12.666666666666666,4.714045207910316,6,6,0,0.7070509240706015,9.645264897664273,9.690293100667004,0.7600990939732472,6.698552364101507,pm2m,mm2,0,0,1
1MoCr3Te8-1,106.06149999999998,51.996,127.6,1048.5610967499997,44.166666666666664,24,52,142.9722222222222,0,0.75,1.9950000000000003,0.1941004894378168,0.3333333333333335,0.5000000000000002,0.03795555555555558,0,12.666666666666666,4.714045207910316,6,6,0,0.46685327591123404,12.513174117965784,12.796733617759,0.7691650341607558,8.693024256628513,pm2m,mm2,0,0,1
1MoW3O8-1,64.62183333333334,15.999,183.84,5211.150598972222,27.333333333333332,8,74,811.5555555555555,0.6666666666666666,0.3333333333333333,3.063333333333333,0.5350285558318878,0.8533333333333332,1.2799999999999998,0.22008888888888897,0,12.666666666666666,4.714045207910316,6,6,0,1.1846738352806105,3.630807475658717,3.643348646389413,0.24581223800475943,2.50665612001763,pm2m,mm2,0,0,1
1MoW3S8-1,75.32916666666665,32.06,183.84,4227.232324305556,32.666666666666664,16,74,619.5555555555555,0.6666666666666666,0.3333333333333333,2.4899999999999998,0.13674794331177345,0.27999999999999997,0.41999999999999993,0.009866666666666668,0,12.666666666666666,4.714045207910316,6,6,0,1.5318072995695844,5.7615517201903,5.748619509607202,0.3735360987322499,3.9612357761765846,pm2m,mm2,0,0,1
1MoW3Se8-1,106.60316666666667,78.971,183.84,2009.8640256388887,44.666666666666664,34,74,291.5555555555556,0,0.3333333333333333,2.47,0.12369316876852973,0.2599999999999998,0.3899999999999997,0.008466666666666652,0,12.666666666666666,4.714045207910316,6,6,0,1.257610391250017,6.778868848375135,6.732666026194918,0.4117628121612529,4.641099228910435,pm2m,mm2,0,0,1
